offer_result,offer_semester,offer_college_name,offer_professional,user_under_school,user_under_gpa,user_under_subject,user_graduate_school,user_graduate_gpa,user_graduate_subject
被拒,2022 Spring,National University of Singapore,Artificial Intelligence,双非,3.0/5.0,自动化,"","",""
AD无奖,2022 Fall,University of Groningen,Artificial Intelligence,双非,3.0/5.0,自动化,"","",""
被拒,2022 Fall,University of Kyoto,Computer Science,双非,3.0/5.0,自动化,"","",""
被拒,2022 Fall,Utrecht University,Artificial Intelligence,双非,3.0/5.0,自动化,"","",""
被拒,2022 Fall,Aalborg University,Computer Science,双非,3.0/5.0,自动化,"","",""
被拒,2022 Fall,University of Twente,Artificial Intelligence,双非,3.0/5.0,自动化,"","",""
Offer,2022 Fall,Eindhoven University of Technology,Artificial Intelligence and Engineering Systems,双非,3.0/5.0,自动化,"","",""
AD无奖,2022 Spring,University Leiden,Artificial Intelligence,双非,3.0/5.0,自动化,"","",""
被拒,2022 Summer,University of Passau,Artificial Intelligence,双非,3.0/5.0,自动化,"","",""
被拒,2022 Fall,Aarhus University,Computer Science,双非,3.0/5.0,自动化,"","",""
AD无奖,2022 Fall,VU University Amsterdam,Artificial Intelligence,双非,3.0/5.0,自动化,"","",""
被拒,2022 Summer,Technische Universität Berlin,Computer Science,双非,3.0/5.0,自动化,"","",""
Waiting list,2022 Fall,The University of Hong Kong,Artificial Intelligence,双非,3.0/5.0,自动化,"","",""
AD无奖,2022 Fall,University Leiden,Artificial Intelligence,双非,3.0/5.0,自动化,"","",""
被拒,2022 Fall,University of Copenhagen,Computer Science,双非,3.0/5.0,自动化,"","",""
AD无奖,2022 Fall,Technical University of Denmark,Computer Science,双非,3.0/5.0,自动化,"","",""
AD无奖,2022 Fall,Maastricht University,Artificial Intelligence,双非,3.0/5.0,自动化,"","",""
被拒,2022 Fall,Eindhoven University of Technology,Data Science and Artificial Intelligence,双非,3.0/5.0,自动化,"","",""
AD无奖,2022 Fall,Lakehead University,Computer Science,"",78 / 100,计算机相关,"","",""
Offer,2022 Fall,Technical University of Denmark,Computer Science,北京邮电大学,85,物联网,"","",""
Offer,2022 Fall,University of Toronto,Electrical and Computer Engineering,北京邮电大学,85,物联网,"","",""
Offer,2022 Fall,University of Helsinki,Computer Science,奥卢大学,3.92,软件工程（中外）,"","",""
Waiting list,2022 Fall,Royal Institute of Technology,Computer Software Engineering,奥卢大学,3.92,软件工程（中外）,"","",""
Waiting list,2022 Fall,Aalto University,Computer Software Engineering,奥卢大学,3.92,软件工程（中外）,"","",""
Offer,2022 Fall,Chalmers University of Technology,Software Engineering and Technology,奥卢大学,3.92,软件工程（中外）,"","",""
AD无奖,2022 Fall,Chalmers University of Technology,Engineering Mathematics and Computational Science,"",90|4.0/5.0,数学与应用数学,"","",""
AD无奖,2022 Fall,University of Washington,Applied and Computational Mathematics,"",90|4.0/5.0,数学与应用数学,"","",""
Offer,2022 Fall,The Chinese University of Hong Kong,Computer Science(MSc)（FT / PT）,211 & 985,86.25/100,计算机科学与技术,"","",""
Offer,2022 Fall,University of Macau,Computer Science,吉林大学,81多点,计算机,"","",""
被拒,2022 Fall,City University of Hong Kong,Computer Science（MSc）（FT / PT）,吉林大学,81多点,计算机,"","",""
Offer,2022 Fall,University of Zurich 苏黎世大学,computational linguistics,211 & 985,86.75,英语,"","",""
AD无奖,2022 Fall,The University of Hong Kong,Computer Science (General Stream),211,"88.9/100, 排名9/84",CS,"","",""
Offer,2022 Fall,"The Chinese University of Hong Kong, Shengzhen",Computer and Information Engineering,211,"88.9/100, 排名9/84",CS,"","",""
AD无奖,2022 Fall,The Chinese University of Hong Kong,Computer Science(MSc)（FT / PT）,211,"88.9/100, 排名9/84",CS,"","",""
Offer,2022 Fall,Northeastern University,Computer Science,211,85,电子工程,"","",""
AD无奖,2022 Fall,Technical University of Denmark,Artificial Intelligence,双非,87+,数据科学与大数据技术,"","",""
AD无奖,2022 Fall,VU University Amsterdam,Artificial Intelligence,双非,87+,数据科学与大数据技术,"","",""
Offer,2022 Fall,Technical University of Denmark,Artificial Intelligence,双非,87+,数据科学与大数据技术,"","",""
AD无奖,2022 Fall,McMaster University,Computer Science,985,89,计算机科学与技术,"","",""
被拒,2022 Fall,University of Groningen,Computational Cognitive Science,211 & 985,82.7/100,软件工程,"","",""
被拒,2022 Fall,Aalto University,Human Computer Interaction,211 & 985,82.7/100,软件工程,"","",""
Offer,2022 Fall,The University of Nottingham,Human Computer Interation,211 & 985,82.7/100,软件工程,"","",""
Offer,2022 Fall,The University of Hong Kong,Computer Science（MSc）（FT / PT）,985,3.6,信息安全,"","",""
AD无奖,2022 Fall,Memorial University,Computer Engineering,美国三流海本,3.5/4,Maths,"","",""
Offer,2022 Fall,University of Zurich 苏黎世大学,Computational science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,87.06,地球科学类,"","",""
AD无奖,2022 Fall,Technical University of Denmark,Artificial Intelligence,211 & 985,90.2,信息工程,"","",""
AD无奖,2022 Fall,Concordia University,Computer Science,双非,3.8/4,"","","",""
AD无奖,2022 Fall,Utrecht University,Artificial Intelligence,中国科学技术大学,3.28/4.3    82.96/100    125/246,计算机科学与技术,"","",""
Offer,2022 Fall,Aalto University,Human-Computer Interaction,中国科学技术大学,3.28/4.3    82.96/100    125/246,计算机科学与技术,"","",""
被拒,2022 Fall,Technical University of Denmark,Human-Centered-Artifical-Intelligence,中国科学技术大学,3.28/4.3    82.96/100    125/246,计算机科学与技术,"","",""
AD无奖,2022 Fall,Lund University,Computer Science,中国科学技术大学,3.28/4.3    82.96/100    125/246,计算机科学与技术,"","",""
Waiting list,2022 Fall,Royal Institute of Technology,Computer Science,中国科学技术大学,3.28/4.3    82.96/100    125/246,计算机科学与技术,"","",""
Offer,2022 Fall,Acadia University,Computer Science,双非,78%,英语,"","",""
被拒,2022 Fall,University of Calgary,Computer Science,双非,78%,英语,"","",""
AD无奖,2022 Fall,Technical University of Denmark,computer science and engineering,"",3.0,"","","",""
AD无奖,2022 Fall,University of Twente,Computer Science,"",3.0,"","","",""
Waiting list,2022 Fall,Royal Institute of Technology,Software Engineering of Distributed Systems,某中下游985,85.77,软件工程,"","",""
Offer,2022 Fall,Uppsala University,"Human-Computer Interaction

",某中下游985,85.77,软件工程,"","",""
AD小奖,2022 Fall,Aalto University,Software and Service Engineering,某中下游985,85.77,软件工程,"","",""
AD小奖,2022 Fall,Erasmus Mundus,Computational Colour and Spectral Imaging（COSI）,双非,87/100,光电信息科学与工程,"","",""
被拒,2022 Fall,Delft University of Technology,Computer Science,211 & 985,88/100,CS,"","",""
AD无奖,2022 Fall,KU Leuven,Computer Science,211 & 985,88/100,CS,"","",""
被拒,2022 Fall,University of British Columbia (Okangan),Computer Science,211 & 985,3.7/4.0,数字媒体技术,"","",""
AD无奖,2022 Fall,University of Alberta,Computing Science (Multimedia),211 & 985,3.7/4.0,数字媒体技术,"","",""
AD无奖,2022 Fall,Western University,Computer Science,211 & 985,3.7/4.0,数字媒体技术,"","",""
被拒,2022 Fall,University of Calgary,Computer Software Engineering,211 & 985,3.7/4.0,数字媒体技术,"","",""
AD无奖,2022 Fall,University of Twente,Computer Science,"Wuhu No. 1 High School (Anhui, China)",年级前20,理科,"","",""
被拒,2022 Fall,University of Windsor,Computational Methods and Modeling,双非,3.27/4.0 前20%,飞行器制造工程,"","",""
AD无奖,2022 Fall,Northeastern University,Computer Science Align,双非,88.9/100,经济统计学,"","",""
被拒,2022 Fall,VU University Amsterdam,Artificial Intelligence,南京理工大学,3.4,电子信息工程,"","",""
被拒,2022 Fall,Western University,Computer Science,211,89+,计算机和电子相关专业,"","",""
AD无奖,2022 Fall,Ryerson University,Computer Science,211 & 985,3.7,不相关理工科,"","",不相关理工科
AD无奖,2022 Fall,Carleton University,Computer Science,211 & 985,3.7,不相关理工科,"","",不相关理工科
AD无奖,2022 Fall,University of Victoria,Computer Science,211 & 985,3.7,不相关理工科,"","",不相关理工科
AD无奖,2022 Fall,Western University,Computer Science,211 & 985,3.7,不相关理工科,"","",不相关理工科
AD无奖,2022 Fall,Brock University,Computer Science,211 & 985,3.7,不相关理工科,"","",不相关理工科
Offer,2022 Fall,The Hong Kong University of Science and Technology,Electronic and Computer Engineering（Mphil/PhD）,HKUST,排名：4/75,电子工程,"","",""
Offer,2022 Fall,The University of Hong Kong,Computer Science（MSc）（FT / PT）,211,3.53/4.0,信息工程,"","",""
AD无奖,2022 Fall,Royal Institute of Technology,Computational and Applied Mathematics,211 & 985,92.8/100，5%左右,车辆工程,"","",""
AD无奖,2022 Fall,University of Copenhagen,Computer Science,211 & 985,88.57,数理基础科学,"","",""
被拒,2022 Fall,The University of Manchester,Computer Science,211 & 985,3.3/4,计算机科学与技术,"","",""
AD无奖,2022 Fall,University of Leeds,Computer Science,211 & 985,3.3/4,计算机科学与技术,"","",""
AD无奖,2022 Fall,The University of Sheffield,Computer Science,211 & 985,3.3/4,计算机科学与技术,"","",""
AD无奖,2022 Fall,University of Copenhagen,Computer Science,211 & 985,3.3/4,计算机科学与技术,"","",""
AD无奖,2022 Fall,University of Copenhagen,Computer Science,日本某国立大学,3.46/4.3,CS,"","",""
Offer,2022 Fall,University of Copenhagen,Computer Science,211,86,软件工程,"","",""
被拒,2022 Fall,Dartmouth College,Computer Science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,3.86,EE,"","",""
AD无奖,2022 Fall,Institut polytechnique de Paris,Computer Science- PhD Track,哈尔滨工业大学（深圳）,84.8/100,自动化,"","",""
AD无奖,2022 Fall,University of Padova,Computer Science,哈尔滨工业大学（深圳）,84.8/100,自动化,"","",""
被拒,2022 Fall,University of Padova,Computer Engineering,哈尔滨工业大学（深圳）,84.8/100,自动化,"","",""
Offer,2022 Fall,Korea Advanced Institute of Science and Technology,Artificial Intelligence,哈尔滨工业大学（深圳）,84.8/100,自动化,"","",""
被拒,2022 Fall,Eindhoven University of Technology,Data Science and Artificial Intelligence,哈尔滨工业大学,90.3/100 28/202,计算机科学与技术,"","",""
AD无奖,2022 Fall,Delft University of Technology,Computer Science,哈尔滨工业大学,90.3/100 28/202,计算机科学与技术,"","",""
AD无奖,2022 Fall,Delft University of Technology,Computer Science,双非,3.75/4 89.19/100 36/155,计算机科学与技术,"","",""
AD无奖,2022 Fall,VU University Amsterdam,Computer Science,双非,3.75/4 89.19/100 36/155,计算机科学与技术,"","",""
AD无奖,2022 Fall,Delft University of Technology,Computer Science,211,"90, 10/133",计算机科学与技术,"","",""
被拒,2022 Fall,University of Edinburgh,computational finance,211,主修88.63/100 辅修86.51/100,主修保险 辅修双学位会计,"","",""
被拒,2022 Fall,Aalto University,Computer Science,香港中文大学（深圳）,3.25/4,cs,"","",""
Offer,2022 Fall,Utrecht University,Artificial Intelligence,香港中文大学（深圳）,3.25/4,cs,"","",""
Offer,2022 Fall,Utrecht University,Computing Science,香港中文大学（深圳）,3.25/4,cs,"","",""
被拒,2022 Fall,Delft University of Technology,Computer Science,香港中文大学（深圳）,3.25/4,cs,"","",""
Offer,2022 Fall,Politecnico di Milano,Computer Science,香港中文大学（深圳）,3.25/4,cs,"","",""
Offer,2022 Fall,Technical University of Denmark,Computer Science,香港中文大学（深圳）,3.25/4,cs,"","",""
被拒,2022 Fall,University of Copenhagen,Computer Science,香港中文大学（深圳）,3.25/4,cs,"","",""
AD无奖,2022 Fall,Radboud University Nijmegen,Artificial Intelligence (Cognitive Computing),New York University,3.869,Psychology,"","",""
AD无奖,2022 Fall,University of Groningen,Computational Cognitive Science,New York University,3.869,Psychology,"","",""
被拒,2022 Fall,University of Chicago,Master Program of Computer Science,211 & 985,3.57/4.0,英语,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,3.58/4.0,英语语言文学
AD无奖,2022 Fall,Concordia University 肯高迪亚大学,Computer Software Engineering 计算机软件工程,211,83.96,计算机科学与技术,"","",""
AD无奖,2022 Fall,Northeastern University,Software Engineering Systems,港校top3,"",Computer Science,"","",""
Offer,2022 Fall,University of Zurich,informatics-software systems,211,85.3,mis,"","",""
AD小奖,2022 Fall,University of Chicago,Computational Social Science,清华/北大/中科大,3.83,人文,"","",""
AD小奖,2022 Summer,Aarhus University,Computer Science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,3.66/4.0,计算机科学与技术,"","",""
AD无奖,2022 Fall,University of Copenhagen,Computer Science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,3.66/4.0,计算机科学与技术,"","",""
被拒,2022 Fall,University of Southern California,Computer Science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,3.66/4.0,计算机科学与技术,"","",""
Offer,2022 Fall,Simon Fraser University,Master of Science in Professional Computer Science,"","","","","",""
Offer,2022 Summer,Australian National University,machine learning and computer science,211,90,CS,"","",""
Offer,2022 Summer,The University of Manchester,Artificial Intelligence,211,90,CS,"","",""
被拒,2022 Fall,Sapienza University of Rome,Computer Science,双非,84/100,软件工程,"","",""
Offer,2022 Fall,Carleton University,Computer Science,双非,89,文学,"","",""
Offer,2022 Fall,University of British Columbia,Electrical and Computer Engineering,哈尔滨工业大学（深圳）,93.08/100 1/70,自动化,"","",""
AD无奖,2022 Fall,Utrecht University,Computing Science,211,89 4/153,计算机科学与技术,"","",""
AD无奖,2022 Fall,University of Copenhagen,Computer Science,211,89 4/153,计算机科学与技术,"","",""
Offer,2022 Fall,Aarhus University,Computer Science,211,89 4/153,计算机科学与技术,"","",""
AD无奖,2022 Fall,Chalmers University of Technology,Computer Science,211,89 4/153,计算机科学与技术,"","",""
Waiting list,2022 Fall,Royal Institute of Technology,Computer Science,211 & 985,87、17%,软件工程,"","",""
AD无奖,2022 Fall,VU University Amsterdam,Computer Science (joint degree),211 & 985,87、17%,软件工程,"","",""
AD无奖,2022 Fall,Technical University of Denmark,Computer Science and Engineering,211 & 985,87、17%,软件工程,"","",""
AD无奖,2022 Fall,University of Copenhagen,Computer Science,211 & 985,87、17%,软件工程,"","",""
Offer,2022 Fall,Aarhus University,Computer Engineering,双非,3.97/4.00     1/132,计算机科学与技术,"","",""
Offer,2022 Fall,University Leiden,Computer Science,211,71.7/100,计算机科学与技术,"","",""
AD无奖,2022 Fall,Eidgenossische Technische Hochschule Zürich,Computer Science,211,92,CS,"","",""
AD无奖,2022 Fall,Eindhoven University of Technology,Artificial Intelligence and Engineering System,211,81/100,机械工程,"","",""
被拒,2022 Fall,Technical University of Denmark,Computer Science and engineering,211,81/100,机械工程,"","",""
Offer,2022 Fall,University of Amsterdam,Computer Science (joint degree),211 & 985,85.48,计算机科学与技术,"","",""
Offer,2022 Fall,The University of Hong Kong,Computer Science（MSc）（FT / PT）,211 & 985,85.48,计算机科学与技术,"","",""
Offer,2022 Fall,Eindhoven University of Technology,Computer Engineering,211 & 985,85.48,计算机科学与技术,"","",""
Offer,2022 Fall,VU University Amsterdam,Parallel and Distributed Computer Syst,211 & 985,85.48,计算机科学与技术,"","",""
AD无奖,2022 Fall,University Leiden,Computer Science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,81.43/100,农学,"","",""
AD无奖,2022 Fall,Delft University of Technology,Computer Engineering,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,81.43/100,农学,"","",""
AD无奖,2022 Fall,Utrecht University,computing science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,81.43/100,农学,"","",""
AD无奖,2022 Fall,University of Copenhagen,Computer Science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,81.43/100,农学,"","",""
AD无奖,2022 Fall,Duke University,Economics and Computation,清华/北大/中科大,3.6,经济学,"","",""
Offer,2022 Fall,University of Chicago,Computational Social Science - Econ Track,香港城市大学,4.02/4.3,金融，辅修数学和计算机科学,"","",""
Offer,2022 Fall,Duke University,Economics and Computation,香港城市大学,4.02/4.3,金融，辅修数学和计算机科学,"","",""
AD无奖,2022 Fall,National University of Singapore,Internartional Affairs,211 & 985,3.7/5.0,国际政治,"","",""
AD小奖,2022 Fall,Tulane University,Computer Science,211,3.2,物联网工程,"","",""
AD小奖,2022 Fall,Stevens Institute of Technology,Computer Science,211,3.2,物联网工程,"","",""
AD无奖,2022 Fall,University of Ottawa,Computer Software Engineering,211 & 985,3.23,自动化,"","",""
AD无奖,2022 Fall,Utrecht University,Computing Science,双非,89/100,物联网工程,"","",""
被拒,2022 Fall,Politecnico di Milano,Computer Science,双非,89/100,物联网工程,"","",""
被拒,2022 Fall,University of Copenhagen,Computer Science,双非,89/100,物联网工程,"","",""
AD无奖,2022 Fall,Aarhus University,Computer Science,双非,89/100,物联网工程,"","",""
Offer,2022 Fall,Western University,Computer Science,中国人民大学,3.0,财政学,"","",""
被拒,2022 Fall,York University,Computer Science,中国人民大学,3.0,财政学,"","",""
Offer,2022 Fall,University of Calgary,Computer Science,中国人民大学,3.0,财政学,"","",""
被拒,2022 Fall,University of Ottawa,Computer Science,中国人民大学,3.0,财政学,"","",""
Offer,2022 Fall,Carleton University,Computer Science,中国人民大学,3.0,财政学,"","",""
Offer,2022 Fall,University of Manitoba,Computer Science,中国人民大学,3.0,财政学,"","",""
Offer,2022 Fall,Memorial University,Computer Engineering,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
被拒,2022 Fall,Western University,Computer Science,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
被拒,2022 Fall,Concordia University,Computer Science,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
被拒,2022 Fall,University of Ottawa,Computer Science,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
Offer,2022 Fall,Concordia University,Electrical and Computer Engineering,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
被拒,2022 Fall,McMaster University,Electrical and Computer Engineering,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
Offer,2022 Fall,Western University,Electrical and Computer Engineering,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
被拒,2022 Fall,Ryerson University,Electrical and Computer Engineering,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
被拒,2022 Fall,Carleton University,Electrical and Computer Engineering,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
被拒,2022 Fall,University of Windsor,Electrical and Computer Engineering,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
Offer,2022 Fall,Ryerson University,Computer Networks,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
被拒,2022 Fall,University of Waterloo,Electrical and Computer Engineering,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
Offer,2022 Fall,Memorial University,Software Engineering,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
被拒,2022 Fall,Concordia University,Software Engineering,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
被拒,2022 Fall,University of Ottawa,Electrical and Computer Engineering,211,3.4/4.0（78.5/100）,计算机科学与技术,"","",""
AD无奖,2022 Fall,Utrecht University,Computing Science,985,83.23/100 3.31/4,计算机科学与技术,"","",""
AD无奖,2022 Fall,University of Zurich,Artificial Intelligence,985,83.23/100 3.31/4,计算机科学与技术,"","",""
AD无奖,2022 Fall,Technical University of Denmark,Computer Science and Engineering,985,83.23/100 3.31/4,计算机科学与技术,"","",""
AD无奖,2022 Fall,University Leiden,Data Science: Computer Science,985,83.23/100 3.31/4,计算机科学与技术,"","",""
AD无奖,2022 Fall,Utrecht University,Artificial Intelligence,985,83.23/100 3.31/4,计算机科学与技术,"","",""
Offer,2022 Fall,RWTH Aachen University,Computer Science,211,92,CS,"","",""
AD无奖,2022 Fall,RWTH Aachen University,Software Systems Engineering,211,92,CS,"","",""
被拒,2022 Fall,University of Stuttgart,Computer Science,211,92,CS,"","",""
被拒,2022 Fall,The University of Hong Kong,Computer Science（MSc）（FT / PT）,211,92,CS,"","",""
AD小奖,2022 Fall,Chalmers University of Technology,Computer Systems and Networks,211,92,CS,"","",""
Offer,2022 Fall,University of Helsinki,Computer Science,211,92,CS,"","",""
被拒,2022 Fall,École Polytechnique Fédérale de Lausanne,Computer Science,211,92,CS,"","",""
AD无奖,2022 Fall,University of Zurich,Artificial Intelligence+ Informatics,211,92,CS,"","",""
AD无奖,2022 Fall,Eidgenossische Technische Hochschule Zürich,Computer Science,211,92,CS,"","",""
Offer,2022 Fall,University of Zurich,International and comparative law,双非,85/100,法学,"","",""
AD无奖,2022 Fall,University of Helsinki,Particle Physics and Astrophysical Sciences,211,3.2/4.0,物理,"","",""
AD无奖,2022 Fall,Simon Fraser University,Computer Science,"","","","",3.6,Mechanical Engineering
AD无奖,2022 Fall,Chalmers University of Technology,Engineering Mathematics and Computational Science,双非,85.2/100,应用统计学,"","",""
AD无奖,2022 Fall,Concordia University,Electrical and Computer Engineering,10043学子,85.2,主修：通信工程 辅修：机器人,"","",""
被拒,2022 Fall,University College London,Medical Robotics and Artificial Intelligence,10043学子,85.2,主修：通信工程 辅修：机器人,"","",""
AD无奖,2022 Fall,University of Toronto,Electrical and Computer Engineering,10043学子,85.2,主修：通信工程 辅修：机器人,"","",""
被拒,2022 Fall,University of British Columbia-Vancouver,Electrical and Computer Engineering,10043学子,85.2,主修：通信工程 辅修：机器人,"","",""
被拒,2022 Fall,McGill University,Electrical and Computer Engineering,10043学子,85.2,主修：通信工程 辅修：机器人,"","",""
AD无奖,2022 Fall,McMaster University,Electrical and Computer Engineering,10043学子,85.2,主修：通信工程 辅修：机器人,"","",""
被拒,2022 Fall,University of Edinburgh,Artificial Intelligence,10043学子,85.2,主修：通信工程 辅修：机器人,"","",""
被拒,2022 Fall,University of Waterloo,Electrical and Computer Engineering,10043学子,85.2,主修：通信工程 辅修：机器人,"","",""
